category_id,category_name
100894,Dầu dưỡng ẩm
100896,Tinh chất dưỡng
100897,Tẩy tế bào chết
100898,Mặt nạ
101669,Kem dưỡng mắt
101028,Mắt kính
101029,Phụ kiện tóc
101030,Găng tay
101031,Thắt lưng
101032,Tất
101033,Khăn
101034,Đồng hồ
101749,Vòng Tay
101750,Bông Tai
101751,Vòng Cổ
101752,Nhẫn
101754,Áo mưa
101755,Ủng đi mưa
101037,Chụp tai
101039,Đồ hóa trang
101040,Đồ lót
101908,Đèn
101909,Khác
101456,Hệ thống xử lý nhiên liệu
101458,"Dụng cụ Kiểm tra, chẩn đoán & sửa chữa"
101459,Máy đo áp suất lốp
101466,Khác
101912,Khác
100753,Móc chìa khóa và Bọc chìa ô tô
100755,"Mô tô, xe máy"
101473,Lót sàn
101474,Đồng hồ đo
101475,Bạt phủ
101476,"Hình dán, logo, huy hiệu"
101477,Ghế & bọc ghế
101478,Gương và phụ kiện
101479,Khóa và thiết bị chống trộm
100452,Kem dưỡng vùng kín
100137,Dụng cụ massage và trị liệu
100138,Chống muỗi & xua đuổi côn trùng
100140,Bao cao su
100141,Bôi trơn
100143,Tăng cường sinh lý
100021,Nhẫn
100022,Bông tai
100023,Khăn choàng
100024,Găng tay
100145,Băng đô tóc
100146,Đồ buộc tóc & Nơ
100147,Kẹp tóc
100148,Tóc giả & Tóc nối
100149,"Cài tóc, vương miện cài tóc"
100026,Vòng tay & Lắc tay
101017,Áo khoác mùa đông
101018,Váy
101740,Quần dài & legging
101741,Quần ngắn
101742,Chân váy
101020,Đồ ngủ
101021,Áo
101022,Bộ đồ liền thân
101023,Bộ quần áo
101024,Đồ bơi
100688,Bao tay trẻ em & Tất
101744,Balo
101745,Túi đeo chéo/túi đeo vai
101746,Vali kéo
101747,Ví
101027,Mũ & mũ lưỡi trai
101446,"Bánh xe, Vành & Phụ kiện"
101447,Lốp & Phụ kiện
101448,"Giảm xóc, thanh chống và hệ thống treo"
101449,"Bộ tản nhiệt, Làm mát động cơ & Kiểm soát nhiệt"
101450,"Hệ thống truyền động, hộp số & ly hợp"
101451,Vòng bi & con dấu
101902,Pít tông
101903,Bộ lọc khí
101904,Bộ lọc dầu
101905,Khác
101453,Hệ thống phanh
101454,Dây chuyền động
101929,Cuộn dây đánh lửa
101930,Bugi
101931,Khác
101907,Pin & Phụ kiện
100204,Nồi nấu đa năng
100205,Nồi áp suất
100206,Nồi nấu chậm & Dụng cụ nấu chân không
100207,Nồi cơm điện
100468,Máy làm bánh Waffle & Crepe
100469,Máy luộc trứng
100470,Máy làm bánh mì
100471,Máy làm bánh Takoyaki
100472,Máy làm món tráng miệng
100473,Máy làm soda
100474,Khác
100209,Tủ lạnh
100210,Tủ đông
100211,Máy hút khói
100213,Ổ cắm điện & Dây nối
100214,Thiết bị an toàn điện tử
101725,Nhà hơi & Cầu trượt
101726,"Lều, Ống đường hầm & Nhà banh"
101727,"Phao tắm, Đồ chơi nước & Xúc cát"
101729,Đồ chơi thể thao
101730,"Đồ chơi mô hình bay, diều & Chong chóng"
101732,Đồ chơi mỹ thuật & Thủ công
101733,Đồ chơi toán học
101734,Đồ chơi khoa học & Công nghệ
101735,Đồ chơi hình khối
101736,Đồ chơi xếp hình
101737,Đồ chơi âm nhạc
101738,Đồ chơi điện tử & Máy tính đồ chơi
101013,Đồ chơi Robot
101014,Slime & Đồ chơi nhựa dẻo
100685,Bộ & Gói quà tặng
101016,Áo khoác nhẹ
101430,"HUD, Đồng hồ tốc độ, Đồng hồ số"
101431,Khác
101432,Nẹp viền
101433,Ăng-ten thu phát sóng
101434,Bạt phủ
101435,"Hình dán, logo, huy hiệu"
101436,Tấm chắn bùn
101437,Nẹp cửa chống trầy
101438,Rãnh thoát nước mưa
101439,Còi & phụ kiện
101440,Gương & Phụ kiện
101441,Phụ kiện biển số
101442,Khác
101443,Hệ thống khung xe và giảm sóc
101444,Cần gạt nước & vòng đệm kính chắn gió
